Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,Brasil,30,Número-índice,123.76,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200402,2º trimestre 2004,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,125.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200403,3º trimestre 2004,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,126.30,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200404,4º trimestre 2004,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,127.42,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200501,1º trimestre 2005,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,128.74,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200502,2º trimestre 2005,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,128.02,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200503,3º trimestre 2005,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,129.64,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200504,4º trimestre 2005,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,131.75,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200601,1º trimestre 2006,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,132.14,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200602,2º trimestre 2006,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,134.35,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200603,3º trimestre 2006,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,135.92,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200604,4º trimestre 2006,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,138.49,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200701,1º trimestre 2007,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,140.80,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200702,2º trimestre 2007,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,142.26,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200703,3º trimestre 2007,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,144.42,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200704,4º trimestre 2007,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,146.26,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200801,1º trimestre 2008,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,149.18,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200802,2º trimestre 2008,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,151.64,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200803,3º trimestre 2008,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,145.92,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200804,4º trimestre 2008,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,143.82,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200901,1º trimestre 2009,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,146.48,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200902,2º trimestre 2009,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,149.90,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200903,3º trimestre 2009,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,153.77,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200904,4º trimestre 2009,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,156.93,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201001,1º trimestre 2010,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,158.94,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201002,2º trimestre 2010,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,160.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201003,3º trimestre 2010,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,162.63,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201004,4º trimestre 2010,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,164.80,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201101,1º trimestre 2011,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,166.48,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201102,2º trimestre 2011,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,166.11,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201103,3º trimestre 2011,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,167.61,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201104,4º trimestre 2011,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,165.23,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201201,1º trimestre 2012,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,168.22,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201202,2º trimestre 2012,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,171.10,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201203,3º trimestre 2012,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,171.16,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201204,4º trimestre 2012,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,172.09,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201301,1º trimestre 2013,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,174.44,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201302,2º trimestre 2013,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,175.28,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201303,3º trimestre 2013,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,175.56,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201304,4º trimestre 2013,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,177.03,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201401,1º trimestre 2014,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,174.43,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201402,2º trimestre 2014,90707,PIB a preços de mercado
