Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês,valor_numerico
1,Brasil,2,%,8.33,1,Brasil,63,IPCA - Variação mensal,198904,abril 1989,833.0
1,Brasil,2,%,17.92,1,Brasil,63,IPCA - Variação mensal,198905,maio 1989,1792.0
1,Brasil,2,%,28.65,1,Brasil,63,IPCA - Variação mensal,198906,junho 1989,2865.0
1,Brasil,2,%,27.74,1,Brasil,63,IPCA - Variação mensal,198907,julho 1989,2774.0
1,Brasil,2,%,33.71,1,Brasil,63,IPCA - Variação mensal,198908,agosto 1989,3371.0
1,Brasil,2,%,37.56,1,Brasil,63,IPCA - Variação mensal,198909,setembro 1989,3756.0
1,Brasil,2,%,39.77,1,Brasil,63,IPCA - Variação mensal,198910,outubro 1989,3977.0
1,Brasil,2,%,47.82,1,Brasil,63,IPCA - Variação mensal,198911,novembro 1989,4782.0
1,Brasil,2,%,51.50,1,Brasil,63,IPCA - Variação mensal,198912,dezembro 1989,5150.0
1,Brasil,2,%,67.55,1,Brasil,63,IPCA - Variação mensal,199001,janeiro 1990,6755.0
1,Brasil,2,%,75.73,1,Brasil,63,IPCA - Variação mensal,199002,fevereiro 1990,7573.0
1,Brasil,2,%,82.39,1,Brasil,63,IPCA - Variação mensal,199003,março 1990,8239.0
1,Brasil,2,%,15.52,1,Brasil,63,IPCA - Variação mensal,199004,abril 1990,1552.0
1,Brasil,2,%,7.59,1,Brasil,63,IPCA - Variação mensal,199005,maio 1990,759.0
1,Brasil,2,%,11.75,1,Brasil,63,IPCA - Variação mensal,199006,junho 1990,1175.0
1,Brasil,2,%,12.92,1,Brasil,63,IPCA - Variação mensal,199007,julho 1990,1292.0
1,Brasil,2,%,12.88,1,Brasil,63,IPCA - Variação mensal,199008,agosto 1990,1288.0
1,Brasil,2,%,14.41,1,Brasil,63,IPCA - Variação mensal,199009,setembro 1990,1441.0
1,Brasil,2,%,14.36,1,Brasil,63,IPCA - Variação mensal,199010,outubro 1990,1436.0
1,Brasil,2,%,16.81,1,Brasil,63,IPCA - Variação mensal,199011,novembro 1990,1681.0
1,Brasil,2,%,18.44,1,Brasil,63,IPCA - Variação mensal,199012,dezembro 1990,1844.0
1,Brasil,2,%,20.75,1,Brasil,63,IPCA - Variação mensal,199101,janeiro 1991,2075.0
1,Brasil,2,%,20.72,1,Brasil,63,IPCA - Variação mensal,199102,fevereiro 1991,2072.0
1,Brasil,2,%,11.92,1,Brasil,63,IPCA - Variação mensal,199103,março 1991,1192.0
1,Brasil,2,%,4.99,1,Brasil,63,IPCA - Variação mensal,199104,abril 1991,499.0
1,Brasil,2,%,7.43,1,Brasil,63,IPCA - Variação mensal,199105,maio 1991,743.0
1,Brasil,2,%,11.19,1,Brasil,63,IPCA - Variação mensal,199106,junho 1991,1119.0
1,Brasil,2,%,12.41,1,Brasil,63,IPCA - Variação mensal,199107,julho 1991,1241.0
1,Brasil,2,%,15.63,1,Brasil,63,IPCA - Variação mensal,199108,agosto 1991,1563.0
1,Brasil,2,%,15.63,1,Brasil,63,IPCA - Variação mensal,199109,setembro 1991,1563.0
1,Brasil,2,%,20.23,1,Brasil,63,IPCA - Variação mensal,199110,outubro 1991,2023.0
1,Brasil,2,%,25.21,1,Brasil,63,IPCA - Variação mensal,199111,novembro 1991,2521.0
1,Brasil,2,%,23.71,1,Brasil,63,IPCA - Variação mensal,199112,dezembro 1991,2371.0
1,Brasil,2,%,25.94,1,Brasil,63,IPCA - Variação mensal,199201,janeiro 1992,2594.0
1,Brasil,2,%,24.32,1,Brasil,63,IPCA - Variação mensal,199202,fevereiro 1992,2432.0
1,Brasil,2,%,21.40,1,Brasil,63,IPCA - Variação mensal,199203,março 1992,2140.0
1,Brasil,2,%,19.93,1,Brasil,63,IPCA - Variação mensal,199204,abril 1992,1993.0
1,Brasil,2,%,24.86,1,Brasil,63,IPCA - Variação mensal,199205,maio 1992,2486.0
1,Brasil,2,%,20.21,1,Brasil,63,IPCA - Variação mensal,199206,junho 1992,2021.0
1,Brasil,2,%,21.83,1,Brasil,63,IPCA - Variação mensal,199207,julho 1992,2183.0
1,Brasil,2,%,22.14,1,Brasil,63,IPCA - Variação mensal,199208,agosto 1992,2214.0
1,Brasil,2,%,24.63,1,Brasil,63,IPCA - Variação mensal,199209,setembro 1992,2463.0
1,Brasil,2,%,25.24,1,Brasil,63,IPCA - Variação mensal,199210,outubro 1992,2524.0
1,Brasil,2,%,22.49,1,Brasil,63,IPCA - Variação mensal,199211,novembro 1992,2249.0
1,Brasil,2,%,25.24,1,Brasil,63,IPCA - Variação mensal,199212,dezembro 1992,2524.0
1,Brasil,2,%,30.35,1,Brasil,63,IPCA - Variação mensal,199301,janeiro 1993,3035.0
1,Brasil,2,%,24.98,1,Brasil,63,IPCA - Variação mensal,199302,fevereiro 1993,2498.0
1,Brasil,2,%,27.26,1,Brasil,63,IPCA - Variação mensal,199303,março 1993,2726.0
1,Brasil,2,%,27.75,1,Brasil,63,IPCA - Variação mensal,199304,abril 1993,2775.0
1,Brasil,2,%,27.69,1,Brasil,63,IPCA - Variação mensal,199305,maio 1993,2769.0
1,Brasil,2,%,30.07,1,Brasil,63,IPCA - Variação mensal,199306,junho 1993,3007.0
1,Brasil,2,%,30.72,1,Brasil,63,IPCA - Variação mensal,199307,julho 1993,3072.0
1,Brasil,2,%,32.96,1,Brasil,63,IPCA - Variação mensal,199308,agosto 1993,3296.0
1,Brasil,2,%,35.69,1,Brasil,63,IPCA - Variação mensal,199309,setembro 1993,3569.0
1,Brasil,2,%,33.92,1,Brasil,63,IPCA - Variação mensal,199310,outubro 1993,3392.0
1,Brasil,2,%,35.56,1,Brasil,63,IPCA - Variação mensal,199311,novembro 1993,3556.0
1,Brasil,2,%,36.84,1,Brasil,63,IPCA - Variação mensal,199312,dezembro 1993,3684.0
1,Brasil,2,%,41.31,1,Brasil,63,IPCA - Variação mensal,199401,janeiro 1994,4131.0
1,Brasil,2,%,40.27,1,Brasil,63,IPCA - Variação mensal,199402,fevereiro 1994,4027.0
1,Brasil,2,%,42.75,1,Brasil,63,IPCA - Variação mensal,199403,março 1994,4275.0
1,Brasil,2,%,42.68,1,Brasil,63,IPCA - Variação mensal,199404,abril 1994,4268.0
1,Brasil,2,%,44.03,1,Brasil,63,IPCA - Variação mensal,199405,maio 1994,4403.0
1,Brasil,2,%,47.43,1,Brasil,63,IPCA - Variação mensal,199406,junho 1994,4743.0
1,Brasil,2,%,6.84,1,Brasil,63,IPCA - Variação mensal,199407,julho 1994,684.0
1,Brasil,2,%,1.86,1,Brasil,63,IPCA - Variação mensal,199408,agosto 1994,186.0
1,Brasil,2,%,1.53,1,Brasil,63,IPCA - Variação mensal,199409,setembro 1994,153.0
1,Brasil,2,%,2.62,1,Brasil,63,IPCA - Variação mensal,199410,outubro 1994,262.0
1,Brasil,2,%,2.81,1,Brasil,63,IPCA - Variação mensal,199411,novembro 1994,281.0
1,Brasil,2,%,1.71,1,Brasil,63,IPCA - Variação mensal,199412,dezembro 1994,171.0
1,Brasil,2,%,1.70,1,Brasil,63,IPCA - Variação mensal,199501,janeiro 1995,170.0
1,Brasil,2,%,1.02,1,Brasil,63,IPCA - Variação mensal,199502,fevereiro 1995,102.0
1,Brasil,2,%,1.55,1,Brasil,63,IPCA - Variação mensal,199503,março 1995,155.0
1,Brasil,2,%,2.43,1,Brasil,63,IPCA - Variação mensal,199504,abril 1995,243.0
1,Brasil,2,%,2.67,1,Brasil,63,IPCA - Variação mensal,199505,maio 1995,267.0
1,Brasil,2,%,2.26,1,Brasil,63,IPCA - Variação mensal,199506,junho 1995,226.0
1,Brasil,2,%,2.36,1,Brasil,63,IPCA - Variação mensal,199507,julho 1995,236.0
1,Brasil,2,%,0.99,1,Brasil,63,IPCA - Variação mensal,199508,agosto 1995,99.0
1,Brasil,2,%,0.99,1,Brasil,63,IPCA - Variação mensal,199509,setembro 1995,99.0
1,Brasil,2,%,1.41,1,Brasil,63,IPCA - Variação mensal,199510,outubro 1995,141.0
1,Brasil,2,%,1.47,1,Brasil,63,IPCA - Variação mensal,199511,novembro 1995,147.0
1,Brasil,2,%,1.56,1,Brasil,63,IPCA - Variação mensal,199512,dezembro 1995,156.0
1,Brasil,2,%,1.34,1,Brasil,63,IPCA - Variação mensal,199601,janeiro 1996,134.0
1,Brasil,2,%,1.03,1,Brasil,63,IPCA - Variação mensal,199602,fevereiro 1996,103.0
1,Brasil,2,%,0.35,1,Brasil,63,IPCA - Variação mensal,199603,março 1996,35.0
1,Brasil,2,%,1.26,1,Brasil,63,IPCA - Variação mensal,199604,abril 1996,126.0
1,Brasil,2,%,1.22,1,Brasil,63,IPCA - Variação mensal,199605,maio 1996,122.0
1,Brasil,2,%,1.19,1,Brasil,63,IPCA - Variação mensal,199606,junho 1996,119.0
1,Brasil,2,%,1.11,1,Brasil,63,IPCA - Variação mensal,199607,julho 1996,111.0
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,199608,agosto 1996,44.0
1,Brasil,2,%,0.15,1,Brasil,63,IPCA - Variação mensal,199609,setembro 1996,15.0
1,Brasil,2,%,0.30,1,Brasil,63,IPCA - Variação mensal,199610,outubro 1996,30.0
1,Brasil,2,%,0.32,1,Brasil,63,IPCA - Variação mensal,199611,novembro 1996,32.0
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,199612,dezembro 1996,47.0
1,Brasil,2,%,1.18,1,Brasil,63,IPCA - Variação mensal,199701,janeiro 1997,118.0
1,Brasil,2,%,0.50,1,Brasil,63,IPCA - Variação mensal,199702,fevereiro 1997,50.0
1,Brasil,2,%,0.51,1,Brasil,63,IPCA - Variação mensal,199703,março 1997,51.0
1,Brasil,2,%,0.88,1,Brasil,63,IPCA - Variação mensal,199704,abril 1997,88.0
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,199705,maio 1997,41.0
1,Brasil,2,%,0.54,1,Brasil,63,IPCA - Variação mensal,199706,junho 1997,54.0
1,Brasil,2,%,0.22,1,Brasil,63,IPCA - Variação mensal,199707,julho 1997,22.0
1,Brasil,2,%,-0.02,1,Brasil,63,IPCA - Variação mensal,199708,agosto 1997,-2.0
1,Brasil,2,%,0.06,1,Brasil,63,IPCA - Variação mensal,199709,setembro 1997,6.0
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,199710,outubro 1997,23.0
1,Brasil,2,%,0.17,1,Brasil,63,IPCA - Variação mensal,199711,novembro 1997,17.0
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,199712,dezembro 1997,43.0
1,Brasil,2,%,0.71,1,Brasil,63,IPCA - Variação mensal,199801,janeiro 1998,71.0
1,Brasil,2,%,0.46,1,Brasil,63,IPCA - Variação mensal,199802,fevereiro 1998,46.0
1,Brasil,2,%,0.34,1,Brasil,63,IPCA - Variação mensal,199803,março 1998,34.0
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,199804,abril 1998,24.0
1,Brasil,2,%,0.50,1,Brasil,63,IPCA - Variação mensal,199805,maio 1998,50.0
1,Brasil,2,%,0.02,1,Brasil,63,IPCA - Variação mensal,199806,junho 1998,2.0
1,Brasil,2,%,-0.12,1,Brasil,63,IPCA - Variação mensal,199807,julho 1998,-12.0
1,Brasil,2,%,-0.51,1,Brasil,63,IPCA - Variação mensal,199808,agosto 1998,-51.0
1,Brasil,2,%,-0.22,1,Brasil,63,IPCA - Variação mensal,199809,setembro 1998,-22.0
1,Brasil,2,%,0.02,1,Brasil,63,IPCA - Variação mensal,199810,outubro 1998,2.0
1,Brasil,2,%,-0.12,1,Brasil,63,IPCA - Variação mensal,199811,novembro 1998,-12.0
1,Brasil,2,%,0.33,1,Brasil,63,IPCA - Variação mensal,199812,dezembro 1998,33.0
1,Brasil,2,%,0.70,1,Brasil,63,IPCA - Variação mensal,199901,janeiro 1999,70.0
1,Brasil,2,%,1.05,1,Brasil,63,IPCA - Variação mensal,199902,fevereiro 1999,105.0
1,Brasil,2,%,1.10,1,Brasil,63,IPCA - Variação mensal,199903,março 1999,110.0
1,Brasil,2,%,0.56,1,Brasil,63,IPCA - Variação mensal,199904,abril 1999,56.0
1,Brasil,2,%,0.30,1,Brasil,63,IPCA - Variação mensal,199905,maio 1999,30.0
1,Brasil,2,%,0.19,1,Brasil,63,IPCA - Variação mensal,199906,junho 1999,19.0
1,Brasil,2,%,1.09,1,Brasil,63,IPCA - Variação mensal,199907,julho 1999,109.0
1,Brasil,2,%,0.56,1,Brasil,63,IPCA - Variação mensal,199908,agosto 1999,56.0
1,Brasil,2,%,0.31,1,Brasil,63,IPCA - Variação mensal,199909,setembro 1999,31.0
1,Brasil,2,%,1.19,1,Brasil,63,IPCA - Variação mensal,199910,outubro 1999,119.0
