Ticker;Nome_Empresa;Setor;Subsetor;Tipo_Ativo
BOVA11;BOVA11;Miscellaneous;;fund
GRND3;GRENDENE S.A.;Consumer Non-Durables;Calçados;stock
EZTC3;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Finance;Incorporações;stock
SAPR4;CIA SANEAMENTO DO PARANA - SANEPAR;Utilities;;stock
QUAL3;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Health Services;Serv.Méd.Hospit..Análises e Diagnósticos;stock
SIMH3;SIMPAR S.A.;Transportation;Holdings Diversificadas;stock
SMAL11;SMAL11;Miscellaneous;;fund
POMO3;MARCOPOLO S.A.;Producer Manufacturing;Material Rodoviário;stock
EVEN3;EVEN CONSTRUTORA E INCORPORADORA S.A.;Finance;Incorporações;stock
KLBN4;KLABIN S.A.;Non-Energy Minerals;;stock
SAPR11;CIA SANEAMENTO DO PARANA - SANEPAR;Utilities;;stock
HBSA3;HIDROVIAS DO BRASIL S.A.;Transportation;Transporte Hidroviário;stock
PGMN3;EMPREENDIMENTOS PAGUE MENOS S.A.;Retail Trade;Medicamentos e Outros Produtos;stock
FNAM11;FNAM11;;;fund
ALPA4;ALPARGATAS S.A.;Consumer Non-Durables;;stock
PLPL3;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;Finance;Incorporações;stock
PSSA3;PORTO SEGURO S.A.;Finance;Seguradoras;stock
VULC3;VULCABRAS S.A.;Consumer Non-Durables;Calçados;stock
AZEV4;AZEVEDO E TRAVASSOS S.A.;Industrial Services;;stock
MDIA3;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Consumer Non-Durables;Alimentos Diversos;stock
BRAP4;BRADESPAR S.A.;Finance;;stock
TEND3;CONSTRUTORA TENDA S.A.;Finance;Incorporações;stock
GFSA3;GAFISA S.A.;Finance;Incorporações;stock
KEPL3;KEPLER WEBER S.A.;Producer Manufacturing;Máq. e Equip. Industriais;stock
IRBR3;IRB - BRASIL RESSEGUROS S.A.;Finance;Resseguradoras;stock
ALUP11;ALUPAR INVESTIMENTO S/A;Utilities;;stock
MDNE3;MOURA DUBEUX ENGENHARIA S/A;Finance;Incorporações;stock
TSLA34;TSLA34;Consumer Durables;;bdr
SMTO3;SAO MARTINHO S.A.;Process Industries;Açúcar e Álcool;stock
FESA4;CIA FERRO LIGAS DA BAHIA - FERBASA;Non-Energy Minerals;;stock
AMBP3;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;Commercial Services;Água e Saneamento;stock
