Ticker;Nome_Empresa;Setor;Subsetor;Tipo_Ativo
CGAS3;CIA GAS DE SAO PAULO - COMGAS;Utilities;Gás;stock
HAGA3;HAGA S.A. INDUSTRIA E COMERCIO;Consumer Durables;Produtos para Construção;stock
COPH34;COPH34;Energy Minerals;;bdr
ATTB34;ATTB34;Communications;;bdr
GPSI34;GPSI34;Retail Trade;;bdr
AZOI34;AZOI34;Retail Trade;;bdr
GPRK34;GPRK34;Energy Minerals;;bdr
I1PC34;I1PC34;Process Industries;;bdr
MNDL3;MUNDIAL S.A. - PRODUTOS DE CONSUMO;Consumer Non-Durables;Acessórios;stock
GEPA4;RIO PARANAPANEMA ENERGIA S.A.;Utilities;;stock
FDES11;FDES11;;;fund
T1AM34;T1AM34;Technology Services;;bdr
C1HK34;C1HK34;Technology Services;;bdr
A1LB34;A1LB34;Process Industries;;bdr
R1DY34;R1DY34;Health Technology;;bdr
PEAB4;CIA PARTICIPACOES ALIANCA DA BAHIA;Finance;;stock
VERZ34;VERZ34;Communications;;bdr
A1ZN34;A1ZN34;Health Technology;;bdr
BMYB34;BMYB34;Health Technology;;bdr
DEEC34;DEEC34;Producer Manufacturing;;bdr
F1TN34;F1TN34;Technology Services;;bdr
I1QY34;I1QY34;Technology Services;;bdr
TELB3;TELEC BRASILEIRAS S.A. TELEBRAS;Communications;Telecomunicações;stock
BEWU39;ISHARES MSCI UNITED KINGDOM ETF;Miscellaneous;;bdr
BBYY34;BBYY34;Retail Trade;;bdr
GEOO34;GEOO34;Electronic Technology;;bdr
KMIC34;KMIC34;Industrial Services;;bdr
TPRY34;TPRY34;Retail Trade;;bdr
T1WL34;T1WL34;Technology Services;;bdr
ARMT34;ARMT34;Non-Energy Minerals;;bdr
HPQB34;HPQB34;Technology Services;;bdr
A1IV34;A1IV34;Finance;;bdr
SAPP34;SAPP34;Technology Services;;bdr
W1MG34;W1MG34;Commercial Services;;bdr
USIM6;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Non-Energy Minerals;;stock
CGRA3;GRAZZIOTIN S.A.;Retail Trade;Tecidos. Vestuário e Calçados;stock
BEWP39;ISHARES MSCI SPAIN ETF;Miscellaneous;;bdr
BUSM39;ISHARES MSCI USA MIN VOL FACTOR ETF;Miscellaneous;;bdr
D1EL34;D1EL34;Electronic Technology;;bdr
BNDA39;ISHARES MSCI INDIA ETF;Miscellaneous;;bdr
BIXN39;ISHARES GLOBAL TECH ETF;Miscellaneous;;bdr
ABBV34;ABBV34;Health Technology;;bdr
D1LR34;D1LR34;Finance;;bdr
F1SL34;F1SL34;Technology Services;;bdr
C1DN34;C1DN34;Technology Services;;bdr
PLAS3;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;Producer Manufacturing;Automóveis e Motocicletas;stock
FPOR11;FPOR11;;;fund
FESA3;CIA FERRO LIGAS DA BAHIA - FERBASA;Non-Energy Minerals;Siderurgia;stock
HBTS5;CIA HABITASUL DE PARTICIPACOES;Finance;;stock
S1JM34;S1JM34;Consumer Non-Durables;;bdr
COLG34;COLG34;Consumer Non-Durables;;bdr
N1TA34;N1TA34;Electronic Technology;;bdr
A1UT34;A1UT34;Technology Services;;bdr
USBC34;USBC34;Finance;;bdr
F1MC34;F1MC34;Process Industries;;bdr
I1SR34;I1SR34;Health Technology;;bdr
BEWT39;ISHARES MSCI TAIWAN ETF;Miscellaneous;;bdr
S1TT34;S1TT34;Finance;;bdr
TSNF34;TSNF34;Consumer Non-Durables;;bdr
OFSA3;OUROFINO S.A.;Health Technology;Medicamentos e Outros Produtos;stock
CGAS5;CIA GAS DE SAO PAULO - COMGAS;Utilities;;stock
CBEE3;AMPLA ENERGIA E SERVICOS S.A.;Utilities;Energia Elétrica;stock
PATI4;PANATLANTICA S.A.;Producer Manufacturing;;stock
E1TN34;E1TN34;Producer Manufacturing;;bdr
AXPB34;AXPB34;Finance;;bdr
C1BL34;C1BL34;Finance;;bdr
N1WG34;N1WG34;Finance;;bdr
V1OD34;V1OD34;Communications;;bdr
C1MG34;C1MG34;Consumer Services;;bdr
STMN34;STMN34;Electronic Technology;;bdr
T1MU34;T1MU34;Communications;;bdr
P1EA34;P1EA34;Finance;;bdr
S1TX34;S1TX34;Electronic Technology;;bdr
A1LL34;A1LL34;Finance;;bdr
BAER39;ISHARES US AEROSPACE & DEFENSE ETF;Miscellaneous;;bdr
SCHW34;SCHW34;Finance;;bdr
L1UL34;L1UL34;Consumer Non-Durables;;bdr
Z1OM34;Z1OM34;Technology Services;;bdr
RYTT34;RYTT34;Electronic Technology;;bdr
H1ST34;H1ST34;Finance;;bdr
F1NI34;F1NI34;Technology Services;;bdr
FSLR34;FSLR34;Electronic Technology;;bdr
OSXB3;OSX BRASIL S.A.;Industrial Services;Equipamentos e Serviços;stock
WLMM4;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;Distribution Services;;stock
EKTR4;ELEKTRO REDES S.A.;Utilities;;stock
SOND5;SONDOTECNICA ENGENHARIA SOLOS S.A.;Industrial Services;;stock
AFLT3;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Utilities;Energia Elétrica;stock
WLMM3;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;Distribution Services;Material de Transporte;stock
UNIP5;UNIPAR CARBOCLORO S.A.;Process Industries;;stock
H1PE34;H1PE34;Electronic Technology;;bdr
O1KT34;O1KT34;Technology Services;;bdr
G1SK34;G1SK34;Health Technology;;bdr
UPSS34;UPSS34;Transportation;;bdr
A1RG34;A1RG34;Health Technology;;bdr
M1PC34;M1PC34;Energy Minerals;;bdr
GOGL35;GOGL35;Technology Services;;bdr
R1IN34;R1IN34;Finance;;bdr
Q1UA34;Q1UA34;Industrial Services;;bdr
GOVE11;GOVE11;Miscellaneous;;fund
B1PP34;B1PP34;Energy Minerals;;bdr
T1CH34;T1CH34;Health Technology;;bdr
I1LM34;I1LM34;Health Technology;;bdr
DEOP34;DEOP34;Consumer Non-Durables;;bdr
SPGI34;SPGI34;Commercial Services;;bdr
N1CL34;N1CL34;Consumer Services;;bdr
ELCI34;ELCI34;Consumer Non-Durables;;bdr
P1DT34;P1DT34;Finance;;bdr
E1QN34;E1QN34;Energy Minerals;;bdr
N1IC34;N1IC34;Technology Services;;bdr
PHMO34;PHMO34;Consumer Non-Durables;;bdr
PEAB3;CIA PARTICIPACOES ALIANCA DA BAHIA;Finance;Exploração de Imóveis;stock
CEEB3;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Utilities;Energia Elétrica;stock
I1QV34;I1QV34;Health Technology;;bdr
NORD3;NORDON INDUSTRIAS METALURGICAS S.A.;Producer Manufacturing;Máq. e Equip. Industriais;stock
COCE3;CIA ENERGETICA DO CEARA - COELCE;Utilities;Energia Elétrica;stock
A1FL34;A1FL34;Finance;;bdr
SOND6;SONDOTECNICA ENGENHARIA SOLOS S.A.;Industrial Services;;stock
MRSA5B;MRS LOGISTICA S.A.;Transportation;;stock
UPAC34;UPAC34;Transportation;;bdr
EUCA3;EUCATEX S.A. INDUSTRIA E COMERCIO;Non-Energy Minerals;Madeira;stock
EALT3;ELECTRO ACO ALTONA S.A.;Producer Manufacturing;Máq. e Equip. Industriais;stock
HOOT4;HOTEIS OTHON S.A.;Consumer Services;;stock
HOME34;HOME34;Retail Trade;;bdr
ISUS11;ISUS11;Miscellaneous;;fund
BBSD11;BBSD11;Miscellaneous;;fund
BIEF39;ISHARES CORE MSCI EAFE ETF;Miscellaneous;;bdr
ORLY34;ORLY34;Retail Trade;;bdr
R1KU34;R1KU34;Technology Services;;bdr
A1ON34;A1ON34;Finance;;bdr
MDTC34;MDTC34;Health Technology;;bdr
P1LD34;P1LD34;Finance;;bdr
I1NC34;I1NC34;Health Technology;;bdr
GPRO34;GPRO34;Consumer Durables;;bdr
CHME34;CHME34;Finance;;bdr
FDMO34;FDMO34;Consumer Durables;;bdr
G1DS34;G1DS34;Technology Services;;bdr
M1CK34;M1CK34;Distribution Services;;bdr
ABTT34;ABTT34;Health Technology;;bdr
HOND34;HOND34;Consumer Durables;;bdr
BITO39;ISHARES CORE S&P TOTAL US STOCK MARKET ETF;Miscellaneous;;bdr
A1LG34;A1LG34;Health Technology;;bdr
GMCO34;GMCO34;Consumer Durables;;bdr
MMMC34;MMMC34;Producer Manufacturing;;bdr
M1CH34;M1CH34;Electronic Technology;;bdr
TMOS34;TMOS34;Health Technology;;bdr
A1TT34;A1TT34;Finance;;bdr
V1NO34;V1NO34;Finance;;bdr
L1YG34;L1YG34;Finance;;bdr
AMGN34;AMGN34;Health Technology;;bdr
ECOO11;ECOO11;Miscellaneous;;fund
STZB34;STZB34;Consumer Non-Durables;;bdr
VRTX34;VRTX34;Health Technology;;bdr
T1RO34;T1RO34;Finance;;bdr
P1GR34;P1GR34;Finance;;bdr
A1PD34;A1PD34;Process Industries;;bdr
O1KE34;O1KE34;Industrial Services;;bdr
MAPT3;CEMEPE INVESTIMENTOS S.A.;Miscellaneous;Outros;stock
N1WL34;N1WL34;Producer Manufacturing;;bdr
CEGR3;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;Utilities;Gás;stock
RPAD3;ALFA HOLDINGS S.A.;Finance;Bancos;stock
CLSC3;CENTRAIS ELET DE SANTA CATARINA S.A.;Utilities;Energia Elétrica;stock
EQMA3B;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Utilities;;stock
ESTR4;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;Consumer Durables;;stock
BDLL3;BARDELLA S.A. INDUSTRIAS MECANICAS;Producer Manufacturing;Máq. e Equip. Industriais;stock
MSPA3;CIA MELHORAMENTOS DE SAO PAULO;Process Industries;Papel e Celulose;stock
H1UM34;H1UM34;Health Services;;bdr
BALM4;BAUMER S.A.;Health Technology;;stock
MTSA4;METISA METALURGICA TIMBOENSE S.A.;Producer Manufacturing;;stock
AHEB3;SAO PAULO TURISMO S.A.;Commercial Services;Produção de Eventos e Shows;stock
BNBR3;BCO NORDESTE DO BRASIL S.A.;Finance;Bancos;stock
A1JG34;A1JG34;Finance;;bdr
BRKM6;BRASKEM S.A.;Process Industries;;stock
BEWW39;ISHARES MSCI MEXICO ETF;Miscellaneous;;bdr
MRSA3B;MRS LOGISTICA S.A.;Transportation;;stock
BALM3;BAUMER S.A.;Health Technology;Equipamentos;stock
MWET4;WETZEL S.A.;Producer Manufacturing;;stock
BGIP3;BCO ESTADO DE SERGIPE S.A. - BANESE;Finance;Bancos;stock
LUPA3;LUPATECH S.A.;Producer Manufacturing;Equipamentos e Serviços;stock
BDLL4;BARDELLA S.A. INDUSTRIAS MECANICAS;Producer Manufacturing;;stock
BRSR5;BCO ESTADO DO RIO GRANDE DO SUL S.A.;Finance;;stock
GSHP3;GENERAL SHOPPING E OUTLETS DO BRASIL S.A.;Finance;Exploração de Imóveis;stock
M1MC34;M1MC34;Finance;;bdr
BMIN4;BCO MERCANTIL DE INVESTIMENTOS S.A.;Finance;;stock
T1DG34;T1DG34;Electronic Technology;;bdr
M1TT34;M1TT34;Consumer Services;;bdr
AWII34;AWII34;Producer Manufacturing;;bdr
IBMB34;IBMB34;Technology Services;;bdr
S1PO34;S1PO34;Technology Services;;bdr
NOCG34;NOCG34;Electronic Technology;;bdr
BCSA34;BCSA34;Finance;;bdr
W1BO34;W1BO34;Technology Services;;bdr
BMKS3;BICICLETAS MONARK S.A.;Consumer Durables;Bicicletas;stock
W1EL34;W1EL34;Finance;;bdr
C1NC34;C1NC34;Health Services;;bdr
A1AP34;A1AP34;Retail Trade;;bdr
BEFA39;ISHARES MSCI EAFE ETF;Miscellaneous;;bdr
N1DA34;N1DA34;Finance;;bdr
MDLZ34;MDLZ34;Consumer Non-Durables;;bdr
NETE34;NETE34;Technology Services;;bdr
BEGU39;ISHARES ESG AWARE MSCI USA ETF;Miscellaneous;;bdr
B1WA34;B1WA34;Producer Manufacturing;;bdr
U1AI34;U1AI34;Consumer Non-Durables;;bdr
D1EX34;D1EX34;Health Technology;;bdr
A1SN34;A1SN34;Health Technology;;bdr
C1AB34;C1AB34;Consumer Services;;bdr
BEWZ39;ISHARES MSCI BRAZIL ETF;Miscellaneous;;bdr
XRXB34;XRXB34;Electronic Technology;;bdr
BIYF39;ISHARES US FINANCIALS ETF;Miscellaneous;;bdr
T1EL34;T1EL34;Electronic Technology;;bdr
C1RR34;C1RR34;Producer Manufacturing;;bdr
ADPR34;ADPR34;Technology Services;;bdr
A1RE34;A1RE34;Finance;;bdr
BEZU39;ISHARES MSCI EUROZONE ETF;Miscellaneous;;bdr
C1NS34;C1NS34;Process Industries;;bdr
G1PI34;G1PI34;Finance;;bdr
W1MC34;W1MC34;Industrial Services;;bdr
F1AN34;F1AN34;Energy Minerals;;bdr
S1YM34;S1YM34;Technology Services;;bdr
W1PP34;W1PP34;Commercial Services;;bdr
CVSH34;CVSH34;Retail Trade;;bdr
M1SC34;M1SC34;Commercial Services;;bdr
CLXC34;CLXC34;Consumer Non-Durables;;bdr
P1HC34;P1HC34;Producer Manufacturing;;bdr
BILF39;ISHARES LATIN AMERICA 40 ETF;Miscellaneous;;bdr
N1VS34;N1VS34;Health Technology;;bdr
H1II34;H1II34;Electronic Technology;;bdr
J1CI34;J1CI34;Producer Manufacturing;;bdr
SLBG34;SLBG34;Industrial Services;;bdr
BDVY39;ISHARES SELECT DIVIDEND ETF;Miscellaneous;;bdr
BEGD39;ISHARES ESG AWARE MSCI EAFE ETF;Miscellaneous;;bdr
C1FG34;C1FG34;Finance;;bdr
R1YA34;R1YA34;Transportation;;bdr
P1PL34;P1PL34;Utilities;;bdr
U1LT34;U1LT34;Retail Trade;;bdr
A1TM34;A1TM34;Utilities;;bdr
TRVC34;TRVC34;Finance;;bdr
A1MP34;A1MP34;Finance;;bdr
A1CR34;A1CR34;Process Industries;;bdr
R1OL34;R1OL34;Commercial Services;;bdr
A1KA34;A1KA34;Technology Services;;bdr
ARNC34;ARNC34;Electronic Technology;;bdr
F1IS34;F1IS34;Commercial Services;;bdr
REGN34;REGN34;Health Technology;;bdr
HONB34;HONB34;Producer Manufacturing;;bdr
T1EV34;T1EV34;Health Technology;;bdr
S1YK34;S1YK34;Health Technology;;bdr
BCHI39;ISHARES MSCI CHINA ETF;Miscellaneous;;bdr
S1HW34;S1HW34;Process Industries;;bdr
UBSG34;UBSG34;Finance;;bdr
INGG34;INGG34;Finance;;bdr
Z1BR34;Z1BR34;Electronic Technology;;bdr
M1KT34;M1KT34;Finance;;bdr
I1FO34;I1FO34;Technology Services;;bdr
U1RI34;U1RI34;Finance;;bdr
K1TC34;K1TC34;Communications;;bdr
G1AR34;G1AR34;Technology Services;;bdr
N1SC34;N1SC34;Transportation;;bdr
CPRL34;CPRL34;Transportation;;bdr
I1RP34;I1RP34;Producer Manufacturing;;bdr
HALI34;HALI34;Industrial Services;;bdr
A1EG34;A1EG34;Finance;;bdr
CNIC34;CNIC34;Transportation;;bdr
B1AX34;B1AX34;Health Technology;;bdr
BIXJ39;ISHARES GLOBAL HEALTHCARE ETF;Miscellaneous;;bdr
C1OO34;C1OO34;Health Technology;;bdr
W1MB34;W1MB34;Industrial Services;;bdr
S1RP34;S1RP34;Health Technology;;bdr
N1IS34;N1IS34;Utilities;;bdr
S1LG34;S1LG34;Finance;;bdr
MCOR34;MCOR34;Commercial Services;;bdr
BILB34;BILB34;Finance;;bdr
LMTB34;LMTB34;Electronic Technology;;bdr
MOOO34;MOOO34;Consumer Non-Durables;;bdr
BONY34;BONY34;Finance;;bdr
H1FC34;H1FC34;Energy Minerals;;bdr
E1MN34;E1MN34;Process Industries;;bdr
N1GG34;N1GG34;Utilities;;bdr
R1HI34;R1HI34;Commercial Services;;bdr
DBAG34;DBAG34;Finance;;bdr
VFCO34;VFCO34;Consumer Non-Durables;;bdr
SBUB34;SBUB34;Consumer Services;;bdr
N1XP34;N1XP34;Electronic Technology;;bdr
A1PA34;A1PA34;Energy Minerals;;bdr
CSXC34;CSXC34;Transportation;;bdr
ULEV34;ULEV34;Consumer Non-Durables;;bdr
A1LN34;A1LN34;Health Technology;;bdr
H1DB34;H1DB34;Finance;;bdr
E1MR34;E1MR34;Electronic Technology;;bdr
E1QR34;E1QR34;Finance;;bdr
B1FC34;B1FC34;Consumer Non-Durables;;bdr
B1RF34;B1RF34;Technology Services;;bdr
TEXA34;TEXA34;Electronic Technology;;bdr
U1AL34;U1AL34;Transportation;;bdr
WUNI34;WUNI34;Finance;;bdr
SIMN34;SIMN34;Finance;;bdr
V1IP34;V1IP34;Retail Trade;;bdr
GILD34;GILD34;Health Technology;;bdr
DGCO34;DGCO34;Retail Trade;;bdr
G1WW34;G1WW34;Distribution Services;;bdr
TGTB34;TGTB34;Retail Trade;;bdr
I1RM34;I1RM34;Finance;;bdr
C1TV34;C1TV34;Process Industries;;bdr
S1RE34;S1RE34;Utilities;;bdr
D1OW34;D1OW34;Process Industries;;bdr
PPLA11;PPLA PARTICIPATIONS LTD.;Finance;Gestão de Recursos e Investimentos;bdr
N1RG34;N1RG34;Utilities;;bdr
XBOV11;XBOV11;Miscellaneous;;fund
A1GI34;A1GI34;Health Technology;;bdr
M1LC34;M1LC34;Consumer Services;;bdr
W1AB34;W1AB34;Producer Manufacturing;;bdr
AALL34;AALL34;Transportation;;bdr
C1AH34;C1AH34;Distribution Services;;bdr
R1EG34;R1EG34;Finance;;bdr
L1HX34;L1HX34;Electronic Technology;;bdr
A1PH34;A1PH34;Electronic Technology;;bdr
M1AA34;M1AA34;Finance;;bdr
M1GM34;M1GM34;Consumer Services;;bdr
O1DF34;O1DF34;Transportation;;bdr
FASL34;FASL34;Distribution Services;;bdr
S1MF34;S1MF34;Finance;;bdr
DVAI34;DVAI34;Health Services;;bdr
M1UF34;M1UF34;Finance;;bdr
K1BF34;K1BF34;Finance;;bdr
J1EF34;J1EF34;Finance;;bdr
C1CL34;C1CL34;Consumer Services;;bdr
B1CS34;B1CS34;Finance;;bdr
P1YC34;P1YC34;Technology Services;;bdr
CTSH34;CTSH34;Technology Services;;bdr
R1JF34;R1JF34;Finance;;bdr
B1LL34;B1LL34;Process Industries;;bdr
C1IC34;C1IC34;Health Services;;bdr
B1KR34;B1KR34;Industrial Services;;bdr
C1CI34;C1CI34;Finance;;bdr
A1BB34;NÃO ENCONTRADO;;;
A1BM34;NÃO ENCONTRADO;;;
A1DM34;NÃO ENCONTRADO;;;
A1EE34;NÃO ENCONTRADO;;;
A1EN34;NÃO ENCONTRADO;;;
A1EP34;NÃO ENCONTRADO;;;
A1ES34;NÃO ENCONTRADO;;;
A1GN34;NÃO ENCONTRADO;;;
A1LK34;NÃO ENCONTRADO;;;
A1LX34;NÃO ENCONTRADO;;;
A1MB34;NÃO ENCONTRADO;;;
A1ME34;NÃO ENCONTRADO;;;
A1MX34;NÃO ENCONTRADO;;;
A1NS34;NÃO ENCONTRADO;;;
A1NT34;NÃO ENCONTRADO;;;
A1OS34;NÃO ENCONTRADO;;;
A1SU34;NÃO ENCONTRADO;;;
A1TH34;NÃO ENCONTRADO;;;
A1UA34;NÃO ENCONTRADO;;;
A1VB34;NÃO ENCONTRADO;;;
A1VY34;NÃO ENCONTRADO;;;
A1WK34;NÃO ENCONTRADO;;;
A1YX34;NÃO ENCONTRADO;;;
AALC11B;NÃO ENCONTRADO;;;
AALC34;NÃO ENCONTRADO;;;
AAPL11B;NÃO ENCONTRADO;;;
ABC 5;NÃO ENCONTRADO;;;
ABCB11;NÃO ENCONTRADO;;;
ABNB3;NÃO ENCONTRADO;;;
ABRE11;NÃO ENCONTRADO;;;
ABRE3;NÃO ENCONTRADO;;;
ABTT11B;NÃO ENCONTRADO;;;
ABYA3;NÃO ENCONTRADO;;;
ACE 3;NÃO ENCONTRADO;;;
ACE 4;NÃO ENCONTRADO;;;
ACE 5;NÃO ENCONTRADO;;;
ACE 6;NÃO ENCONTRADO;;;
ACE 7;NÃO ENCONTRADO;;;
ACES3;NÃO ENCONTRADO;;;
ACES4;NÃO ENCONTRADO;;;
ACGU3;NÃO ENCONTRADO;;;
ACNB34;NÃO ENCONTRADO;;;
ADHM3;NÃO ENCONTRADO;;;
AEDU11;NÃO ENCONTRADO;;;
AEDU3;NÃO ENCONTRADO;;;
AELP3;NÃO ENCONTRADO;;;
AESL3;NÃO ENCONTRADO;;;
AESL4;NÃO ENCONTRADO;;;
AETB34;NÃO ENCONTRADO;;;
AFLU3;NÃO ENCONTRADO;;;
AFLU5;NÃO ENCONTRADO;;;
AGEI3;NÃO ENCONTRADO;;;
AGEN11;NÃO ENCONTRADO;;;
AGIN3;NÃO ENCONTRADO;;;
AGR 3;NÃO ENCONTRADO;;;
AGR 4;NÃO ENCONTRADO;;;
AGRA3;NÃO ENCONTRADO;;;
AGRA4;NÃO ENCONTRADO;;;
AHE 3;NÃO ENCONTRADO;;;
AHE 5;NÃO ENCONTRADO;;;
AHE 6;NÃO ENCONTRADO;;;
AHEB5;NÃO ENCONTRADO;;;
AHEB6;NÃO ENCONTRADO;;;
AIGB34;NÃO ENCONTRADO;;;
ALB 3;NÃO ENCONTRADO;;;
ALBA3;NÃO ENCONTRADO;;;
ALLL11;NÃO ENCONTRADO;;;
ALLL3;NÃO ENCONTRADO;;;
ALLL4;NÃO ENCONTRADO;;;
ALMI11B;NÃO ENCONTRADO;;;
ALP 3;NÃO ENCONTRADO;;;
ALP 4;NÃO ENCONTRADO;;;
ALSC3;NÃO ENCONTRADO;;;
ALSO3;NÃO ENCONTRADO;;;
ALT 3;NÃO ENCONTRADO;;;
ALT 4;NÃO ENCONTRADO;;;
AMBV3;NÃO ENCONTRADO;;;
AMBV4;NÃO ENCONTRADO;;;
AMCE3;NÃO ENCONTRADO;;;
AMGN11B;NÃO ENCONTRADO;;;
AMIL3;NÃO ENCONTRADO;;;
AML 4;NÃO ENCONTRADO;;;
AMLC4;NÃO ENCONTRADO;;;
AMPI3;NÃO ENCONTRADO;;;
AMRI8;NÃO ENCONTRADO;;;
AMS 3;NÃO ENCONTRADO;;;
AMS 4;NÃO ENCONTRADO;;;
AMSL3;NÃO ENCONTRADO;;;
AMSL4;NÃO ENCONTRADO;;;
AMZO11B;NÃO ENCONTRADO;;;
ANDG3B;NÃO ENCONTRADO;;;
ANDG4B;NÃO ENCONTRADO;;;
ANDV34;NÃO ENCONTRADO;;;
ANO 3;NÃO ENCONTRADO;;;
ANO 5;NÃO ENCONTRADO;;;
ANO 6;NÃO ENCONTRADO;;;
ANP 5;NÃO ENCONTRADO;;;
ANP 6;NÃO ENCONTRADO;;;
ANPB5;NÃO ENCONTRADO;;;
ANR 3;NÃO ENCONTRADO;;;
ANR 5;NÃO ENCONTRADO;;;
ANR 6;NÃO ENCONTRADO;;;
ANRN5;NÃO ENCONTRADO;;;
ANT 3;NÃO ENCONTRADO;;;
ANT 4;NÃO ENCONTRADO;;;
ANTA3;NÃO ENCONTRADO;;;
ANTA4;NÃO ENCONTRADO;;;
AORE3;NÃO ENCONTRADO;;;
APER3;NÃO ENCONTRADO;;;
APHA3;NÃO ENCONTRADO;;;
APHP3B;NÃO ENCONTRADO;;;
APT 4;NÃO ENCONTRADO;;;
APTI4;NÃO ENCONTRADO;;;
APTV34;NÃO ENCONTRADO;;;
AQT 4;NÃO ENCONTRADO;;;
ARA 3;NÃO ENCONTRADO;;;
ARA 5;NÃO ENCONTRADO;;;
ARA 6;NÃO ENCONTRADO;;;
ARA 7;NÃO ENCONTRADO;;;
ARC 3;NÃO ENCONTRADO;;;
ARC 5;NÃO ENCONTRADO;;;
ARC 6;NÃO ENCONTRADO;;;
ARCE3;NÃO ENCONTRADO;;;
ARCZ3;NÃO ENCONTRADO;;;
ARCZ5;NÃO ENCONTRADO;;;
ARCZ6;NÃO ENCONTRADO;;;
ARL 3;NÃO ENCONTRADO;;;
ARL 4;NÃO ENCONTRADO;;;
ARLA3;NÃO ENCONTRADO;;;
ARLA4;NÃO ENCONTRADO;;;
ARMT11B;NÃO ENCONTRADO;;;
ARN 3;NÃO ENCONTRADO;;;
ARN 4;NÃO ENCONTRADO;;;
ARNO4;NÃO ENCONTRADO;;;
ARP 3;NÃO ENCONTRADO;;;
ARP 4;NÃO ENCONTRADO;;;
ARPS3;NÃO ENCONTRADO;;;
ARPS4;NÃO ENCONTRADO;;;
ART 3;NÃO ENCONTRADO;;;
ART 4;NÃO ENCONTRADO;;;
ARTE3;NÃO ENCONTRADO;;;
ARTE4;NÃO ENCONTRADO;;;
ARTR3;NÃO ENCONTRADO;;;
ARZZ3;NÃO ENCONTRADO;;;
ASS 3;NÃO ENCONTRADO;;;
ASSM3;NÃO ENCONTRADO;;;
ASSM4;NÃO ENCONTRADO;;;
AST 4;NÃO ENCONTRADO;;;
ASTA4;NÃO ENCONTRADO;;;
ATE 4;NÃO ENCONTRADO;;;
ATEL4;NÃO ENCONTRADO;;;
ATOM3;NÃO ENCONTRADO;;;
ATTB11B;NÃO ENCONTRADO;;;
ATVI34;NÃO ENCONTRADO;;;
AURA32;NÃO ENCONTRADO;;;
AUT 4;NÃO ENCONTRADO;;;
AUTM3;NÃO ENCONTRADO;;;
AUTO4;NÃO ENCONTRADO;;;
AVI 3;NÃO ENCONTRADO;;;
AVI 4;NÃO ENCONTRADO;;;
AVIL3;NÃO ENCONTRADO;;;
AVIL4;NÃO ENCONTRADO;;;
AVLL3;NÃO ENCONTRADO;;;
AVON11B;NÃO ENCONTRADO;;;
AVON34;NÃO ENCONTRADO;;;
AVP 3;NÃO ENCONTRADO;;;
AVPL3;NÃO ENCONTRADO;;;
AXPB11B;NÃO ENCONTRADO;;;
AZE 4;NÃO ENCONTRADO;;;
AZUL4;NÃO ENCONTRADO;;;
B1BL34;NÃO ENCONTRADO;;;
B1BT34;NÃO ENCONTRADO;;;
B1DX34;NÃO ENCONTRADO;;;
B1GN34;NÃO ENCONTRADO;;;
B1MR34;NÃO ENCONTRADO;;;
B1SA34;NÃO ENCONTRADO;;;
BAA 3;NÃO ENCONTRADO;;;
BAA 4;NÃO ENCONTRADO;;;
BAAM3;NÃO ENCONTRADO;;;
BAAM4;NÃO ENCONTRADO;;;
BAC 3;NÃO ENCONTRADO;;;
BAC 4;NÃO ENCONTRADO;;;
BAD 3;NÃO ENCONTRADO;;;
BAH 3;NÃO ENCONTRADO;;;
BAH 4;NÃO ENCONTRADO;;;
BAHI11;NÃO ENCONTRADO;;;
BAHI3;NÃO ENCONTRADO;;;
BAHI4;NÃO ENCONTRADO;;;
BAHI5;NÃO ENCONTRADO;;;
BAL 4;NÃO ENCONTRADO;;;
BAM 3;NÃO ENCONTRADO;;;
BAM 4;NÃO ENCONTRADO;;;
BAN 3;NÃO ENCONTRADO;;;
BAN 4;NÃO ENCONTRADO;;;
BAP 6;NÃO ENCONTRADO;;;
BAQ 3;NÃO ENCONTRADO;;;
BAQ 4;NÃO ENCONTRADO;;;
BAQU3;NÃO ENCONTRADO;;;
BAQU4;NÃO ENCONTRADO;;;
BAR 3;NÃO ENCONTRADO;;;
BAR 4;NÃO ENCONTRADO;;;
BARB3;NÃO ENCONTRADO;;;
BARB4;NÃO ENCONTRADO;;;
BAS 3;NÃO ENCONTRADO;;;
BAS 4;NÃO ENCONTRADO;;;
BAS 5;NÃO ENCONTRADO;;;
BAS 6;NÃO ENCONTRADO;;;
BASU3;NÃO ENCONTRADO;;;
BASU4;NÃO ENCONTRADO;;;
BASU5;NÃO ENCONTRADO;;;
BASU6;NÃO ENCONTRADO;;;
BAU 4;NÃO ENCONTRADO;;;
BAUH4;NÃO ENCONTRADO;;;
BAZ 3;NÃO ENCONTRADO;;;
BB  3;NÃO ENCONTRADO;;;
BB  4;NÃO ENCONTRADO;;;
BBAS4;NÃO ENCONTRADO;;;
