data,valor
2012-01-01,97.326
2012-02-01,98.26784
2012-03-01,98.02892
2012-04-01,98.47809
2012-05-01,99.61673
2012-06-01,100.33118
2012-07-01,100.50283
2012-08-01,100.8313
2012-09-01,100.42317
2012-10-01,101.25774
2012-11-01,101.11153
2012-12-01,100.67255
2013-01-01,101.32331
2013-02-01,100.35893
2013-03-01,101.36727
2013-04-01,102.48931
2013-05-01,102.64895
2013-06-01,102.29273
2013-07-01,102.65475
2013-08-01,102.96846
2013-09-01,103.47836
2013-10-01,103.4262
2013-11-01,103.70913
2013-12-01,103.99242
2014-01-01,103.66722
2014-02-01,103.37726
2014-03-01,103.25041
2014-04-01,102.81405
2014-05-01,102.44865
2014-06-01,100.26057
2014-07-01,101.02757
2014-08-01,101.91123
2014-09-01,102.47056
2014-10-01,101.58429
2014-11-01,101.77278
2014-12-01,102.18535
2015-01-01,101.30483
2015-02-01,100.64945
2015-03-01,100.46625
2015-04-01,99.12964
2015-05-01,98.45711
2015-06-01,97.51139
2015-07-01,96.37133
2015-08-01,96.85754
2015-09-01,96.1621
2015-10-01,96.51788
2015-11-01,95.53499
2015-12-01,95.33322
2016-01-01,94.88503
2016-02-01,94.74894
2016-03-01,94.07764
2016-04-01,94.02558
2016-05-01,93.7981
2016-06-01,93.95613
2016-07-01,93.64776
2016-08-01,93.39899
2016-09-01,93.55464
2016-10-01,93.05945
2016-11-01,93.11925
2016-12-01,92.86383
2017-01-01,93.41286
2017-02-01,94.52304
2017-03-01,94.60922
2017-04-01,94.47996
2017-05-01,94.25472
2017-06-01,94.85835
2017-07-01,94.90523
2017-08-01,94.64373
2017-09-01,94.64511
2017-10-01,94.84934
2017-11-01,95.03448
2017-12-01,96.30407
2018-01-01,95.81267
2018-02-01,95.43756
2018-03-01,95.46274
2018-04-01,96.00704
2018-05-01,93.05679
2018-06-01,95.75667
2018-07-01,96.06905
2018-08-01,96.80783
2018-09-01,96.28644
2018-10-01,96.60347
2018-11-01,96.88802
2018-12-01,97.16331
2019-01-01,96.94771
2019-02-01,96.39425
2019-03-01,95.79732
2019-04-01,95.77798
2019-05-01,97.10725
2019-06-01,96.5971
2019-07-01,96.39424
2019-08-01,96.62189
2019-09-01,96.94457
2019-10-01,98.08033
2019-11-01,97.91976
2019-12-01,97.59895
2020-01-01,97.60548
2020-02-01,97.74638
2020-03-01,91.27259
2020-04-01,82.96008
2020-05-01,85.48797
2020-06-01,89.37903
2020-07-01,91.74207
2020-08-01,93.49745
2020-09-01,95.36272
2020-10-01,97.30806
2020-11-01,97.51715
2020-12-01,97.68045
2021-01-01,97.80489
2021-02-01,98.71949
2021-03-01,95.32458
2021-04-01,96.34302
2021-05-01,97.01772
2021-06-01,96.77124
2021-07-01,96.43007
2021-08-01,97.01608
2021-09-01,96.95313
2021-10-01,97.47791
2021-11-01,99.05295
2021-12-01,99.36759
2022-01-01,97.41759
2022-02-01,98.48287
2022-03-01,99.54331
2022-04-01,99.44726
2022-05-01,99.65249
2022-06-01,99.53078
2022-07-01,101.43252
2022-08-01,101.09886
2022-09-01,101.15209
2022-10-01,101.43094
2022-11-01,100.7113
2022-12-01,100.58566
2023-01-01,100.10937
2023-02-01,103.08344
2023-03-01,103.08526
2023-04-01,103.96006
2023-05-01,102.40467
2023-06-01,102.4398
2023-07-01,102.89895
2023-08-01,102.48797
2023-09-01,102.50227
2023-10-01,102.83037
2023-11-01,103.58799
2023-12-01,104.88262
2024-01-01,104.47589
2024-02-01,104.67291
2024-03-01,104.68779
2024-04-01,104.6751
2024-05-01,105.5521
2024-06-01,106.65779
2024-07-01,107.01873
2024-08-01,107.16697
2024-09-01,108.02415
2024-10-01,108.23273
2024-11-01,107.99539
2024-12-01,107.3722
2025-01-01,108.10202
2025-02-01,108.64347
2025-03-01,110.0586
2025-04-01,109.59971
2025-05-01,108.80425
2025-06-01,108.90168
2025-07-01,108.39998
2025-08-01,108.79892
2025-09-01,108.7209
2025-10-01,108.73364
2025-11-01,109.24151
2025-12-01,109.46142
2026-01-01,110.07661
2026-02-01,110.77581
2026-03-01,110.60765
2026-04-01,110.90086
2026-05-01,110.93102
2026-06-01,110.22154
