date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return,ipca_12m,ipca_month,unemployment,pib_index,ibovespa,ifnc,icon,iee,ibovespa_return_1m,ibovespa_return_3m,ibovespa_volatility_3m_ann,ibovespa_drawdown,ifnc_return_1m,ifnc_return_3m,ifnc_volatility_3m_ann,ifnc_drawdown,icon_return_1m,icon_return_3m,icon_volatility_3m_ann,icon_drawdown,iee_return_1m,iee_return_3m,iee_volatility_3m_ann,iee_drawdown,ibc_br_change,pib_change_3m,unemployment_change
2015-01-31,101.77278,12.25,2.6623,0.04047614378289992,0.5,0.002296513816730572,6.41,0.78,6.6,174.33,46907.68,4672.08,2603.85,24635.26,-0.06198541376168054,-0.14133475871613033,0.1573537698223928,-0.3160819809088351,-0.0539647956198025,-0.09448618979415035,0.250752693348159,-0.18656320132041937,-0.026066563432752154,-0.056603431784585934,0.14726481495692567,-0.08150847290223362,,,,0.0,0.0018555034444793783,-0.0005732958780025887,0.0
2015-02-28,102.18535,12.25,2.8782,0.02700818969534949,0.0,0.08109529354317702,7.14,1.24,6.9,174.33,51583.09,5240.87,2691.98,26521.88,0.0996725909275411,-0.057395475476938906,0.35003864299491116,-0.24791409996398717,0.1217423503022208,-0.032949898882541295,0.3908419125733709,-0.0875334936268527,0.033846035677938424,-0.050421175906198434,0.15988327326228713,-0.050421175906198434,0.07658210223882356,,,0.0,0.004053834433922265,-0.0005732958780025887,0.3000000000000007
2015-03-31,101.30483,12.75,3.208,0.06260405203347129,0.5,0.11458550482940733,7.7,1.22,7.5,175.24,51150.16,5209.79,2718.59,27504.07,-0.008392866732101378,0.022851613390895364,0.2852494161831221,-0.25422625669408205,-0.005930313096871309,0.054914459390230874,0.3145810598835438,-0.09294470570005386,0.009884917421377537,0.016850318304570067,0.10446208590592149,-0.041034667644942346,0.03703319674170902,,,0.0,-0.008616890777396247,0.005219985085756829,0.5999999999999996
2015-04-30,100.64945,13.25,2.9936,0.052538945575001175,0.5,-0.06683291770573574,8.13,1.32,8.0,175.24,56229.38,5680.84,2861.68,29453.36,0.09930017814216008,0.1987243879893441,0.21575946674368818,-0.18017079113005874,0.09041631236575753,0.21591239876029533,0.2304964289105179,-0.010932110877615697,0.052633902133090826,0.09901876068129889,0.07422391539017362,0.0,0.07087278355530668,0.1955773959763365,0.07405173707030327,0.0,-0.00646938551695897,0.005219985085756829,0.5
2015-05-31,100.46625,13.25,3.1788,0.044698171117402735,0.0,0.061865312667023,8.17,0.71,8.1,175.24,52760.47,5172.88,2793.34,30202.54,-0.061692126073593534,0.022824921888161542,0.2841025342278349,-0.23074779804247758,-0.08941635391949077,-0.012973036919442738,0.31174470039932894,-0.09937095530178652,-0.023881076849962102,0.037652582857227834,0.13283192441421196,-0.023881076849962102,0.025436147183207636,0.1387782464893137,0.08178138075366183,0.0,-0.0018201788484686343,0.005219985085756829,0.09999999999999964
2015-06-30,99.12964,13.75,3.1026,0.047359010578378526,0.5,-0.023971309928274787,8.47,0.74,8.2,173.84,53080.88,5366.72,2847.94,30253.31,0.006072917849291315,0.037746118487214764,0.2800069472576797,-0.2260761926146031,0.037472355824994974,0.030122135441159825,0.3201362055690422,-0.06562226327252974,0.019546492729134224,0.04757981159350977,0.1329306019650051,-0.004801375415839582,0.0016809844470033752,0.09995756991601623,0.12178916819879923,0.0,-0.013304069774675686,-0.007989043597352197,0.09999999999999964
2015-07-31,98.45711,14.25,3.394,0.044767428504446496,0.5,0.09392122735770014,8.89,0.79,8.4,173.84,50864.77,5147.23,2826.25,29605.9,-0.04174968463220652,-0.09540581809722959,0.12063833102805245,-0.2583872675023,-0.040898351320732385,-0.09393153125242049,0.22179589254679585,-0.1038367722154806,-0.007616031236613141,-0.012380839227306928,0.07600405537260972,-0.012380839227306928,-0.021399641890424537,0.005179035600692217,0.08112477065485338,-0.021399641890424537,-0.00678434825345875,-0.007989043597352197,0.20000000000000107
2015-08-31,97.51139,14.25,3.6467,0.050353583755608895,0.0,0.07445492044784907,9.56,0.62,8.6,173.84,46625.52,4592.7,2656.04,25839.78,-0.08334354013593304,-0.11627929015795357,0.1549990521415637,-0.320195898038541,-0.10773367422866276,-0.11215802415675602,0.25176862112134824,-0.20038372945332483,-0.060224679345422416,-0.04915262732069858,0.14049136954400318,-0.07185988650023756,-0.12720842804981447,-0.14445010254104462,0.23807853827855352,-0.14588585513452912,-0.009605400767907946,-0.007989043597352197,0.1999999999999993
2015-09-30,96.37133,14.25,3.9729,0.09096976759474025,0.0,0.08945073628211819,9.53,0.22,8.8,169.76,45059.34,4388.61,2661.64,25775.84,-0.033590617327163286,-0.1511191977224191,0.09243346280399176,-0.34303093748496427,-0.04443791233914696,-0.18225471051219377,0.13027541866050368,-0.23591700718883357,0.0021084019818977673,-0.06541570398252783,0.11616925139653864,-0.06990299404545586,-0.0024744792718822683,-0.14799934288182026,0.23286141366227933,-0.14799934288182026,-0.011691557263207919,-0.02346985734008289,0.20000000000000107
2015-10-31,96.85754,14.25,3.8589,0.06583291096621204,0.0,-0.028694404591104727,9.49,0.54,9.0,169.76,45868.81,4458.5,2621.57,26711.21,0.01796453299138423,-0.09822043823259197,0.17547998480255947,-0.33122879508709413,0.015925315760571213,-0.13380594999640572,0.21420372818861216,-0.22374874426103353,-0.015054627973730361,-0.07242105263157894,0.11153758259830975,-0.08390525844958197,0.03628863307655528,-0.09777409232619183,0.29594737996351067,-0.11708140365467457,0.005045172667016207,-0.02346985734008289,0.1999999999999993
