date,ibc_br_change,selic,selic_change,usd_brl_return,usd_brl_volatility,ipca_12m,pib_change_3m,unemployment,unemployment_change,target_stress,split
2012-09-30,0.0017108340597609,7.5,0.0,-0.0032397408207341,0.0156854101211425,5.24,0.0180959874114869,7.3,-0.2000000000000001,0,train
2012-10-31,0.0032682661771812,7.25,-0.25,0.0003447256968382,0.0065530265427036,5.28,0.0180959874114869,7.1,-0.2000000000000001,0,train
2012-11-30,-0.0040476518700046,7.25,0.0,0.0374636932013983,0.0180257100088998,5.45,0.0180959874114869,6.9,-0.1999999999999993,0,train
2012-12-31,0.0083105323203798,7.25,0.0,-0.0303217234506977,0.0216308460330191,5.53,0.0171204375222921,6.8,-0.1000000000000005,0,train
2013-01-31,-0.0014439390016012,7.25,0.0,-0.0270124785906532,0.0193581432226996,5.84,0.0171204375222921,6.9,0.1000000000000005,0,train
2013-02-28,-0.0043415424531703,7.25,0.0,-0.0064879545340239,0.0179051555331069,6.15,0.0171204375222921,7.2,0.2999999999999998,0,train
2013-03-31,0.0064641255237898,7.25,0.0,0.0194391009415813,0.0183866865675997,6.31,0.0003506721215662,7.8,0.5999999999999996,0,train
2013-04-30,-0.0095178493477957,7.5,0.25,-0.00600854106664,0.0203579138590882,6.59,0.0003506721215662,8.0,0.2000000000000001,0,train
2013-05-31,0.0100473370929723,8.0,0.5,0.0650447119948043,0.0280596650344199,6.49,0.0003506721215662,7.9,-0.0999999999999996,0,train
2013-06-30,0.0110690561164368,8.0,0.0,0.0392607533186359,0.047819355393096,6.5,0.0054335125029212,7.6,-0.3000000000000007,0,train
2013-07-31,0.0015576258636145,8.5,0.5,0.0337154721068784,0.0212508686648038,6.7,0.0054335125029212,7.5,-0.0999999999999996,1,train
2013-08-31,-0.0034702741723124,9.0,0.5,0.0358904946950182,0.0473131098443094,6.27,0.0054335125029212,7.4,-0.0999999999999996,0,train
2013-09-30,0.0035390589341002,9.0,0.0,-0.0600632244467861,0.0396307579106606,6.09,0.0136556453018767,7.2,-0.2000000000000001,0,train
2013-10-31,0.0030559715941054,9.5,0.5,-0.0122869955156951,0.0208494272041082,5.86,0.0136556453018767,7.0,-0.2000000000000001,0,train
2013-11-30,0.0049520018071553,10.0,0.5,0.0555252882956507,0.0426837457911413,5.84,0.0136556453018767,6.8,-0.2000000000000001,0,train
2013-12-31,-0.0005040667440032,10.0,0.0,0.0076132306765883,0.0303280008569697,5.77,0.0048154093097914,6.5,-0.2999999999999998,0,train
2014-01-31,0.0027355737714429,10.5,0.5,0.0357295312900196,0.0429678378448466,5.91,0.0048154093097914,6.2,-0.2999999999999998,0,train
2014-02-28,0.002731582069968,10.75,0.25,-0.0382887524213823,0.0264520084955293,5.59,0.0048154093097914,6.5,0.2999999999999998,0,train
2014-03-31,-0.0031271509981207,10.75,0.0,-0.0301705665552414,0.0298385135161361,5.68,0.0015974440894568,6.8,0.2999999999999998,0,train
2014-04-30,-0.0027970268711748,11.0,0.25,-0.0119310649580202,0.0331462662615963,6.15,0.0015974440894568,7.2,0.4000000000000003,0,train
2014-05-31,-0.0012270590263274,11.0,0.0,0.0013416815742395,0.017760377219816,6.28,0.0015974440894568,7.2,0.0,0,train
2014-06-30,-0.0042262301912409,11.0,0.0,-0.0163019205002231,0.0257796898026915,6.37,0.0083732057416268,7.0,-0.2000000000000001,0,train
2014-07-31,-0.0035539889732968,11.0,0.0,0.0294665153234958,0.0202502663695586,6.52,0.0083732057416268,6.9,-0.0999999999999996,0,train
2014-08-31,-0.0213578216989681,11.0,0.0,-0.0122607391726206,0.0209761910266638,6.5,0.0083732057416268,7.0,0.0999999999999996,1,train
2014-09-30,0.0076500662224441,11.0,0.0,0.0943918556885159,0.0281770634876263,6.51,-0.0146867762526124,7.0,0.0,1,train
2014-10-31,0.0087467213157754,11.25,0.25,-0.0027743778049775,0.0605687134912682,6.75,-0.0146867762526124,6.8,-0.2000000000000001,1,train
2014-11-30,0.0054884039766764,11.25,0.0,0.0474183782014565,0.0472300748838537,6.59,-0.0146867762526124,6.7,-0.0999999999999996,1,train
2014-12-31,-0.0086490207528875,11.75,0.5,0.0375375961876489,0.0413290296072184,6.56,-0.0005732958780025,6.6,-0.1000000000000005,0,train
2015-01-31,0.0018555034444793,12.25,0.5,0.0022965138167305,0.0404761437828999,6.41,-0.0005732958780025,6.6,0.0,1,train
2015-02-28,0.0040538344339222,12.25,0.0,0.081095293543177,0.0270081896953494,7.14,-0.0005732958780025,6.9,0.3000000000000007,1,train
2015-03-31,-0.0086168907773962,12.75,0.5,0.1145855048294073,0.0626040520334712,7.7,0.0052199850857568,7.5,0.5999999999999996,1,train
2015-04-30,-0.0064693855169589,13.25,0.5,-0.0668329177057357,0.0525389455750011,8.13,0.0052199850857568,8.0,0.5,1,train
2015-05-31,-0.0018201788484686,13.25,0.0,0.061865312667023,0.0446981711174027,8.17,0.0052199850857568,8.1,0.0999999999999996,1,train
2015-06-30,-0.0133040697746756,13.75,0.5,-0.0239713099282747,0.0473590105783785,8.47,-0.0079890435973521,8.2,0.0999999999999996,1,train
2015-07-31,-0.0067843482534587,14.25,0.5,0.0939212273577001,0.0447674285044464,8.89,-0.0079890435973521,8.4,0.200000000000001,1,train
2015-08-31,-0.0096054007679079,14.25,0.0,0.074454920447849,0.0503535837556088,9.56,-0.0079890435973521,8.6,0.1999999999999993,1,train
2015-09-30,-0.0116915572632079,14.25,0.0,0.0894507362821181,0.0909697675947402,9.53,-0.0234698573400828,8.8,0.200000000000001,1,train
2015-10-31,0.0050451726670162,14.25,0.0,-0.0286944045911047,0.065832910966212,9.49,-0.0234698573400828,9.0,0.1999999999999993,1,train
2015-11-30,-0.0071800295568109,14.25,0.0,-0.0021508720101584,0.0537694052145056,9.93,-0.0234698573400828,9.1,0.0999999999999996,1,train
2015-12-31,0.0036997944096479,14.25,0.0,0.0140757284579025,0.0527787402781185,10.48,-0.0164938737040526,9.1,0.0,1,train
2016-01-31,-0.0101835017511782,14.25,0.0,0.0353411186232328,0.0514949472118879,10.67,-0.0164938737040526,9.1,0.0,1,train
2016-02-29,-0.0021120010584603,14.25,0.0,-0.0156327297912337,0.0470431528816232,10.71,-0.0164938737040526,9.6,0.5,1,train
