date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return,ipca_12m,ipca_month,unemployment,pib_index,ibovespa,ifnc,icon,iee,ibovespa_return_1m,ibovespa_return_3m,ibovespa_volatility_3m_ann,ibovespa_drawdown,ifnc_return_1m,ifnc_return_3m,ifnc_volatility_3m_ann,ifnc_drawdown,icon_return_1m,icon_return_3m,icon_volatility_3m_ann,icon_drawdown,iee_return_1m,iee_return_3m,iee_volatility_3m_ann,iee_drawdown,ibc_br_change,pib_change_3m,unemployment_change,stress_score,target_p75,target_p80,target_p90,target_stress
2012-01-31,,10.5,1.7391,0.0336875299849215,,,,,,,63072.31,3672.12,1773.86,,0.1113264456053202,0.0811458800971367,0.2530081322760544,-0.0804002816872658,0.0588245470876067,0.0805533240936096,0.1433371047399152,-0.0134013970983342,0.0477180506417336,0.0963288009888752,0.0557341788582297,0.0,,,,,,,,-0.19575426755046713,0,0,0,0
2012-02-29,,10.5,1.7092,0.0204022295358876,0.0,-0.0171928008740153,6.22,0.56,,,65811.73,3883.16,1927.4,,0.0434330057040879,0.1571297255840791,0.1977701138716104,-0.0404593018763113,0.0574708887509123,0.165942548994292,0.0337345173949833,0.0,0.0865569999887252,0.1729552093476143,0.0996939347722241,0.0,,,,,,,,-0.3689332475690724,0,0,0,0
2012-03-31,97.326,9.75,1.8221,0.0302811695086184,-0.75,0.0660542944067399,5.84,0.45,,,64510.97,3788.57,2003.75,,-0.0197648656250184,0.1366754601607496,0.2271053588193903,-0.0594244948364623,-0.0243590271840459,0.0924019134341183,0.1650301461032038,-0.0243590271840459,0.0396129500882016,0.1835009775142198,0.086924110147,0.0,,,,,,,,-0.19352636290343733,0,0,0,0
2012-04-30,98.26784,9.0,1.8918,0.0204451799379663,-0.75,0.0382525657208714,5.24,0.21,8.0,,61820.26,3522.65,2055.24,,-0.041709340287396,-0.019851024958496,0.1531322956771143,-0.0986552786473178,-0.0701900717157133,-0.0407040074943083,0.224026519019724,-0.092839337034786,0.0256968184653774,0.1586258216544709,0.110465960688906,0.0,,,,,0.0096771674578222,,,-0.6028224394125719,0,0,0,0
2012-05-31,98.02892,8.5,2.0223,0.0455868128473217,-0.5,0.0689819219790675,5.1,0.64,7.8,,54490.41,3360.37,1895.09,,-0.1185671169936846,-0.1720258683368449,0.1797251383861398,-0.2055251236755813,-0.0460675911600642,-0.1346300435727603,0.0794183915843457,-0.1346300435727603,-0.0779227730094781,-0.0167635156168932,0.222464939533645,-0.0779227730094781,,,,,-0.0024313142529641,,-0.2000000000000001,0.031084757206263303,0,0,0,0
2012-06-30,98.47809,8.5,2.0213,0.0469617146511608,0.0,-0.0004944864757948,4.99,0.36,7.7,165.23,54354.63,3361.96,1934.4,,-0.0024918146147185,-0.1574358593584937,0.2045414773706752,-0.2075048077834332,0.0004731621815454,-0.1126044919323122,0.1244285209634908,-0.1342205832363332,0.0207430781651531,-0.034610106051154,0.2024673280724202,-0.058796053015706,,,,,0.0045820151849065,,-0.0999999999999996,-0.07866300782205186,0,0,0,0
2012-07-31,99.61673,8.0,2.0499,0.0307507665909841,-0.5,0.0141493098500964,4.92,0.08,7.6,165.23,56097.05,3641.88,1975.81,,0.0320565147808016,-0.092578225973168,0.2733296227463309,-0.1821001739404286,0.0832609549191543,0.0338466779271287,0.2269173117192004,-0.0621349622472419,0.0214071546732836,-0.0386475545435082,0.1979991197914063,-0.0386475545435082,,,,,0.0115623688477306,,-0.1000000000000005,-0.4843830747943007,0,0,0,0
2012-08-31,100.33118,7.5,2.0372,0.0153895857172908,-0.5,-0.0061954241670325,5.2,0.43,7.5,165.23,57061.45,3668.26,2040.51,,0.0171916348542391,0.0471833484093804,0.0600331558765567,-0.1680391387834667,0.0072435115929134,0.0916238390415342,0.1592376082926111,-0.0553415259736914,0.0327460636397225,0.0767351418666133,0.0233702167067642,-0.0071670461843871,,,,,0.0071719880787093,,-0.0999999999999996,-0.6521003830732005,0,0,0,0
2012-09-30,100.50283,7.5,2.0306,0.0156854101211425,0.0,-0.0032397408207341,5.24,0.41,7.3,168.22,59175.8,3652.2,2151.05,,0.037053912930709,0.0886984236669443,0.035789627935669,-0.1372117334701916,-0.0043780975176243,0.0863305928684456,0.1648897631764495,-0.0594773328938287,0.0541727313269722,0.111998552522746,0.0576412345144993,0.0,,,,,0.0017108340597609,0.0180959874114869,-0.2000000000000001,-0.47527985222920827,0,0,0,0
2012-10-31,100.8313,7.25,2.0313,0.0065530265427036,-0.25,0.0003447256968382,5.28,0.57,7.1,168.22,57068.18,3556.57,2249.42,,-0.0356162485340291,0.0173116055122328,0.1301086853799319,-0.1679410148031614,-0.026184217731778,-0.0234247147077882,0.0587874436409188,-0.0841041831910093,0.0457311545524279,0.1384799145666841,0.0373891666831873,0.0,,,,,0.0032682661771812,0.0180959874114869,-0.2000000000000001,-0.6450553828379942,0,0,0,0
2012-11-30,100.42317,7.25,2.1074,0.0180257100088998,0.0,0.0374636932013983,5.45,0.59,6.9,168.22,57474.57,3785.24,2310.74,,0.0071211312503745,0.0072399141627141,0.1265180415377192,-0.1620158135615214,0.0642950933061909,0.0318897788052099,0.1635727345410831,-0.0252165761905253,0.0272603604484711,0.1324325781299771,0.0476803137484074,0.0,,,,,-0.0040476518700046,0.0180959874114869,-0.1999999999999993,-0.2389054982872804,0,0,0,0
2012-12-31,101.25774,7.25,2.0435,0.0216308460330191,0.0,-0.0303217234506977,5.53,0.6,6.8,171.1,60952.08,4014.49,2377.83,,0.0605051938622593,0.0300170001926463,0.1668272966880959,-0.1113134179075534,0.0605641914383237,0.0991977438256392,0.177345492461447,0.0,0.0290339891117132,0.1054275818786172,0.0353018789080818,0.0,,,,,0.0083105323203798,0.0171204375222921,-0.1000000000000005,-0.5138810320192347,0,0,0,0
2013-01-31,101.11153,7.25,1.9883,0.0193581432226996,0.0,-0.0270124785906532,5.84,0.79,6.9,171.1,59761.49,4074.17,2482.02,,-0.0195332136327424,0.0471946012646626,0.1411839857521647,-0.1286723227681168,0.014866147381112,0.1455334774797065,0.0953462275569085,0.0,0.0438172619573309,0.1034044331427657,0.0314903763787331,0.0,,,,,-0.0014439390016012,0.0171204375222921,0.1000000000000005,-0.30065142687502117,0,0,0,0
