modelo,split,accuracy,precision,recall,f1,roc_auc,observacoes,stress,modelo_escolhido
logistic_regression,train,0.881578947368421,0.7931034482758621,0.8846153846153846,0.8363636363636363,0.9484615384615385,76,26,logistic_regression
logistic_regression,validation,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.2,0.6134453781512605,24,7,logistic_regression
random_forest,train,0.9210526315789473,0.8333333333333334,0.9615384615384616,0.8928571428571429,0.9869230769230769,76,26,logistic_regression
random_forest,validation,0.7083333333333334,0.0,0.0,0.0,0.7310924369747899,24,7,logistic_regression
logistic_regression,test,0.7611940298507462,0.2222222222222222,0.18181818181818182,0.2,0.672077922077922,67,11,logistic_regression
