date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return
2012-01-31,97.326,10.5,1.7391,0.03368752998492159,,
2012-02-29,98.26784,10.5,1.7092,0.020402229535887686,0.0,-0.017192800874015313
2012-03-31,98.02892,9.75,1.8221,0.03028116950861846,-0.75,0.06605429440673993
2012-04-30,98.47809,9.0,1.8918,0.020445179937966348,-0.75,0.038252565720871434
2012-05-31,99.61673,8.5,2.0223,0.04558681284732176,-0.5,0.0689819219790675
2012-06-30,100.33118,8.5,2.0213,0.04696171465116088,0.0,-0.0004944864757948642
2012-07-31,100.50283,8.0,2.0499,0.030750766590984184,-0.5,0.014149309850096436
2012-08-31,100.8313,7.5,2.0372,0.015389585717290846,-0.5,-0.006195424167032559
2012-09-30,100.42317,7.5,2.0306,0.015685410121142572,0.0,-0.0032397408207341938
2012-10-31,101.25774,7.25,2.0313,0.006553026542703622,-0.25,0.00034472569683829946
2012-11-30,101.11153,7.25,2.1074,0.018025710008899826,0.0,0.03746369320139831
2012-12-31,100.67255,7.25,2.0435,0.021630846033019187,0.0,-0.030321723450697724
2013-01-31,101.32331,7.25,1.9883,0.01935814322269966,0.0,-0.027012478590653255
2013-02-28,100.35893,7.25,1.9754,0.017905155533106943,0.0,-0.006487954534023954
2013-03-31,101.36727,7.25,2.0138,0.01838668656759975,0.0,0.0194391009415813
2013-04-30,102.48931,7.5,2.0017,0.020357913859088222,0.25,-0.006008541066640061
2013-05-31,102.64895,8.0,2.1319,0.028059665034419902,0.5,0.06504471199480433
2013-06-30,102.29273,8.0,2.2156,0.04781935539309601,0.0,0.03926075331863599
2013-07-31,102.65475,8.5,2.2903,0.02125086866480387,0.5,0.03371547210687842
2013-08-31,102.96846,9.0,2.3725,0.04731310984430943,0.5,0.03589049469501826
2013-09-30,103.47836,9.0,2.23,0.039630757910660626,0.0,-0.060063224446786134
2013-10-31,103.4262,9.5,2.2026,0.020849427204108234,0.5,-0.01228699551569512
2013-11-30,103.70913,10.0,2.3249,0.04268374579114131,0.5,0.05552528829565073
2013-12-31,103.99242,10.0,2.3426,0.03032800085696978,0.0,0.007613230676588367
2014-01-31,103.66722,10.5,2.4263,0.042967837844846694,0.5,0.035729531290019656
2014-02-28,103.37726,10.75,2.3334,0.026452008495529387,0.25,-0.0382887524213823
2014-03-31,103.25041,10.75,2.263,0.029838513516136166,0.0,-0.030170566555241418
2014-04-30,102.81405,11.0,2.236,0.033146266261596315,0.25,-0.01193106495802021
2014-05-31,102.44865,11.0,2.239,0.01776037721981607,0.0,0.0013416815742395283
2014-06-30,100.26057,11.0,2.2025,0.025779689802691536,0.0,-0.016301920500223166
2014-07-31,101.02757,11.0,2.2674,0.020250266369558696,0.0,0.029466515323495868
2014-08-31,101.91123,11.0,2.2396,0.020976191026663864,0.0,-0.012260739172620605
2014-09-30,102.47056,11.0,2.451,0.02817706348762634,0.0,0.09439185568851594
2014-10-31,101.58429,11.25,2.4442,0.06056871349126828,0.25,-0.002774377804977579
2014-11-30,101.77278,11.25,2.5601,0.047230074883853765,0.0,0.04741837820145656
2014-12-31,102.18535,11.75,2.6562,0.041329029607218445,0.5,0.03753759618764896
2015-01-31,101.30483,12.25,2.6623,0.04047614378289992,0.5,0.002296513816730572
2015-02-28,100.64945,12.25,2.8782,0.02700818969534949,0.0,0.08109529354317702
2015-03-31,100.46625,12.75,3.208,0.06260405203347129,0.5,0.11458550482940733
2015-04-30,99.12964,13.25,2.9936,0.052538945575001175,0.5,-0.06683291770573574
2015-05-31,98.45711,13.25,3.1788,0.044698171117402735,0.0,0.061865312667023
2015-06-30,97.51139,13.75,3.1026,0.047359010578378526,0.5,-0.023971309928274787
2015-07-31,96.37133,14.25,3.394,0.044767428504446496,0.5,0.09392122735770014
2015-08-31,96.85754,14.25,3.6467,0.050353583755608895,0.0,0.07445492044784907
2015-09-30,96.1621,14.25,3.9729,0.09096976759474025,0.0,0.08945073628211819
2015-10-31,96.51788,14.25,3.8589,0.06583291096621204,0.0,-0.028694404591104727
2015-11-30,95.53499,14.25,3.8506,0.05376940521450566,0.0,-0.0021508720101584
2015-12-31,95.33322,14.25,3.9048,0.05277874027811859,0.0,0.014075728457902503
2016-01-31,94.88503,14.25,4.0428,0.05149494721188795,0.0,0.03534111862323286
2016-02-29,94.74894,14.25,3.9796,0.04704315288162327,0.0,-0.015632729791233757
2016-03-31,94.07764,14.25,3.5589,0.07966359188714772,0.0,-0.10571414212483665
2016-04-30,94.02558,14.25,3.4508,0.05312894533375474,0.0,-0.030374553935204607
2016-05-31,93.7981,14.25,3.5951,0.04261135249631092,0.0,0.04181639040222551
2016-06-30,93.95613,14.25,3.2098,0.0510324981933327,0.0,-0.10717365302773219
2016-07-31,93.64776,14.25,3.239,0.0375955624266634,0.0,0.009097140008723192
2016-08-31,93.39899,14.25,3.2403,0.035973310311497954,0.0,0.00040135844396416154
2016-09-30,93.55464,14.25,3.2462,0.04118799044894246,0.0,0.0018208190599635632
2016-10-31,93.05945,14.0,3.1811,0.022778931693971632,-0.25,-0.020054217238617555
2016-11-30,93.11925,14.0,3.3967,0.05639916974723177,0.0,0.067775297852944
2016-12-31,92.86383,13.75,3.2591,0.03936391375168273,-0.25,-0.04050990667412491
2017-01-31,93.41286,13.0,3.127,0.029806848995679588,-0.75,-0.04053266239145792
2017-02-28,94.52304,12.25,3.0993,0.02974516175141022,-0.75,-0.00885833066837216
2017-03-31,94.60922,12.25,3.1684,0.030932407197115604,0.0,0.022295357016100414
2017-04-30,94.47996,11.25,3.1984,0.03474459564740609,-1.0,0.009468501451836753
2017-05-31,94.25472,11.25,3.2437,0.09554712318062786,0.0,0.014163331665832946
2017-06-30,94.85835,10.25,3.3082,0.02427568814672041,-1.0,0.019884699571476983
2017-07-31,94.90523,9.25,3.1307,0.01820819761318262,-1.0,-0.053654555347318666
2017-08-31,94.64373,9.25,3.1471,0.019091888169480247,0.0,0.0052384450761810974
2017-09-30,94.64511,8.25,3.168,0.022691032835302504,-1.0,0.006641034603285689
2017-10-31,94.84934,7.5,3.2769,0.02614987471242161,-0.75,0.03437499999999982
2017-11-30,95.03448,7.5,3.2616,0.02267225691732807,0.0,-0.004669046965119383
2017-12-31,96.30407,7.0,3.308,0.02727501163169954,-0.5,0.014226146676477702
2018-01-31,95.81267,7.0,3.1624,0.030036977297252757,0.0,-0.04401451027811365
2018-02-28,95.43756,6.75,3.2449,0.026974499144253046,-0.25,0.026087781431823887
2018-03-31,95.46274,6.5,3.3238,0.01923944501421298,-0.25,0.024315079047120047
2018-04-30,96.00704,6.5,3.4811,0.03339847014533264,0.0,0.047325350502437136
2018-05-31,93.05679,6.5,3.737,0.04220100812030791,0.0,0.0735112464450891
2018-06-30,95.75667,6.5,3.8558,0.056854301811798125,0.0,0.03179020604763183
2018-07-31,96.06905,6.5,3.7549,0.04134271190675183,0.0,-0.026168369728720275
2018-08-31,96.80783,6.5,4.1353,0.04131541556829647,0.0,0.10130762470372034
2018-09-30,96.28644,6.5,4.0039,0.0424771215854132,0.0,-0.03177520373370735
2018-10-31,96.60347,6.5,3.7177,0.049839222963611554,0.0,-0.07148030670096661
2018-11-30,96.88802,6.5,3.8633,0.02926290019010319,0.0,0.039163999246846215
2018-12-31,97.16331,6.5,3.8748,0.03563664757909596,0.0,0.0029767297388243463
2019-01-31,96.94771,6.5,3.6519,0.03915510842753574,0.0,-0.05752554970579127
2019-02-28,96.39425,6.5,3.7385,0.03141633761452524,0.0,0.023713683288151488
2019-03-31,95.79732,6.5,3.8967,0.045438839707551075,0.0,0.04231643707369259
2019-04-30,95.77798,6.5,3.9453,0.022878574174550595,0.0,0.012472091769959226
2019-05-31,97.10725,6.5,3.9407,0.036509373630619006,0.0,-0.0011659442881403193
2019-06-30,96.5971,6.5,3.8322,0.02767353868220638,0.0,-0.027533179384373385
2019-07-31,96.39424,6.5,3.7649,0.02416331223755854,0.0,-0.01756171389802197
2019-08-31,96.62189,6.0,4.1385,0.0367996183405004,-0.5,0.09923238333023443
2019-09-30,96.94457,5.5,4.1644,0.028350909780072424,-0.5,0.0062583061495711245
2019-10-31,98.08033,5.0,4.0041,0.02959535095579907,-0.5,-0.0384929401594466
2019-11-30,97.91976,5.0,4.224,0.02579829873237284,0.0,0.054918708323967946
2019-12-31,97.59895,4.5,4.0307,0.016290969593778924,-0.5,-0.04576231060606051
2020-01-31,97.60548,4.5,4.2695,0.023685547397672563,0.0,0.05924529238097587
2020-02-29,97.74638,4.25,4.4987,0.023522734981299184,-0.25,0.053683101065698624
2020-03-31,91.27259,3.75,5.1987,0.08452942825737118,-0.5,0.15560050681307924
2020-04-30,82.96008,3.75,5.427,0.06788900395465246,0.0,0.04391482486006115
2020-05-31,85.48797,3.0,5.4263,0.07577074211848851,-0.75,-0.00012898470609901125
2020-06-30,89.37903,2.25,5.476,0.08905006326177428,-0.75,0.00915909551628169
