Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores,valor_numerico
1,Brasil,30,Número-índice,106.81,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199803,3º trimestre 1998,90707,PIB a preços de mercado,10681
1,Brasil,30,Número-índice,105.59,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199804,4º trimestre 1998,90707,PIB a preços de mercado,10559
1,Brasil,30,Número-índice,105.78,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199901,1º trimestre 1999,90707,PIB a preços de mercado,10578
1,Brasil,30,Número-índice,106.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199902,2º trimestre 1999,90707,PIB a preços de mercado,10634
1,Brasil,30,Número-índice,106.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199903,3º trimestre 1999,90707,PIB a preços de mercado,10634
1,Brasil,30,Número-índice,107.85,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),199904,4º trimestre 1999,90707,PIB a preços de mercado,10785
1,Brasil,30,Número-índice,108.98,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200001,1º trimestre 2000,90707,PIB a preços de mercado,10898
1,Brasil,30,Número-índice,110.53,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200002,2º trimestre 2000,90707,PIB a preços de mercado,11053
1,Brasil,30,Número-índice,111.83,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200003,3º trimestre 2000,90707,PIB a preços de mercado,11183
1,Brasil,30,Número-índice,113.20,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200004,4º trimestre 2000,90707,PIB a preços de mercado,11320
1,Brasil,30,Número-índice,113.61,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200101,1º trimestre 2001,90707,PIB a preços de mercado,11361
